Experiment,Period,Subject,Value,BidC3_o,,BidNC,Market,BidC3,BidC6,Ncont,Size6,Vh,BidC6
4,28,1,21.46,16.41,.,16.43,2,16.41,16.47,1,1,30,16.47
4,28,2,14.17,13,.,13.25,2,13,13.5,1,1,30,13.5
4,28,3,25.87,20.87,.,20.87,2,20.87,20.87,1,1,30,20.87
4,28,4,14,12.5,.,12.5,2,12.5,13.25,1,1,30,13.25
4,28,5,24.32,19.32,.,20.32,2,19.32,20.32,1,1,30,20.32
4,28,6,16.81,15.01,.,15.51,2,15.01,15.51,1,1,30,15.51
5,5,1,0.13,0.01,.,.,0,0.01,0.01,0,0,30,0.01
5,5,2,15.5,12.5,.,.,0,12.5,13.5,0,0,30,13.5
5,5,3,10.1,8.1,.,.,0,8.1,9.1,0,0,30,9.1
5,5,4,11.11,8.11,.,.,1,8.11,9.11,0,0,30,9.11
5,5,5,0.72,0.02,.,.,1,0.02,0.02,0,0,30,0.02
5,5,6,6.96,5.96,.,.,1,5.96,6.46,0,0,30,6.46
5,6,1,20.24,17.04,.,.,2,17.04,17.05,0,1,30,17.05
5,6,2,18.42,14.4,.,.,2,14.4,15,0,1,30,15
5,6,3,13.41,10.41,.,.,2,10.41,11.41,0,1,30,11.41
5,6,4,7.13,4.13,.,.,2,4.13,4.63,0,1,30,4.63
5,6,5,17.41,15.01,.,.,2,15.01,15.01,0,1,30,15.01
5,6,6,11.38,10.08,.,.,2,10.08,9.08,0,1,30,9.08
5,7,1,15.81,13.04,.,.,2,13.04,13.05,0,1,30,13.05
5,7,2,15.25,12.25,.,.,2,12.25,13,0,1,30,13
5,7,3,10.21,8.21,.,.,2,8.21,8.21,0,1,30,8.21
5,7,4,22.92,17.92,.,.,2,17.92,19.02,0,1,30,19.02
5,7,5,23.44,20.02,.,.,2,20.02,20.02,0,1,30,20.02
5,7,6,17.29,14.09,.,.,2,14.09,14.29,0,1,30,14.29
5,8,1,28.9,22.04,.,.,2,22.04,22.05,0,1,30,22.05
5,8,2,5.79,5,.,.,2,5,5,0,1,30,5
5,8,3,25.63,21.63,.,.,2,21.63,22.63,0,1,30,22.63
5,8,4,16,11.1,.,.,2,11.1,13.51,0,1,30,13.51
5,8,5,28.37,24.03,.,.,2,24.03,24.03,0,1,30,24.03
5,8,6,25.65,19.65,.,.,2,19.65,21.65,0,1,30,21.65
5,9,1,29.99,24.04,.,.,0,24.04,24.05,0,0,30,24.05
5,9,2,10.6,8.6,.,.,0,8.6,8.6,0,0,30,8.6
5,9,3,7.6,6.6,.,.,0,6.6,6.6,0,0,30,6.6
5,9,4,2.15,1.15,.,.,1,1.15,1.65,0,0,30,1.65
5,9,5,22.13,20.01,.,.,1,20.01,20.01,0,0,30,20.01
5,9,6,10.55,8.55,.,.,1,8.55,7.55,0,0,30,7.55
5,10,1,13.26,12,.,.,2,12,12.01,0,1,30,12.01
5,10,2,7.56,5.56,.,.,2,5.56,6.56,0,1,30,6.56
5,10,3,5.65,4.65,.,.,2,4.65,4.65,0,1,30,4.65
5,10,4,11.1,8.1,.,.,2,8.1,9.1,0,1,30,9.1
5,10,5,0.79,0.72,.,.,2,0.72,0.72,0,1,30,0.72
5,10,6,13.31,11.31,.,.,2,11.31,10.31,0,1,30,10.31
5,11,1,15.82,14.04,.,.,2,14.04,14.24,0,1,30,14.24
5,11,2,27.07,21.07,.,.,2,21.07,22.07,0,1,30,22.07
5,11,3,28.52,22.52,.,.,2,22.52,23.52,0,1,30,23.52
5,11,4,19.57,15.57,.,.,2,15.57,17.07,0,1,30,17.07
5,11,5,27.72,23.03,.,.,2,23.03,24.03,0,1,30,24.03
5,11,6,18.69,15.39,.,.,2,15.39,15.69,0,1,30,15.69
5,12,1,12.97,11.01,.,.,2,11.01,11.02,0,1,30,11.02
5,12,2,10.07,8,.,.,2,8,9.07,0,1,30,9.07
5,12,3,29.83,22.83,.,.,2,22.83,24.83,0,1,30,24.83
5,12,4,27.38,19.38,.,.,2,19.38,23.51,0,1,30,23.51
5,12,5,13.41,11.02,.,.,2,11.02,11.02,0,1,30,11.02
5,12,6,10.75,9.75,.,.,2,9.75,8.75,0,1,30,8.75
5,13,1,10.4,9.99,.,9.99,2,9.99,9.99,0,1,30,9.99
5,13,2,27.19,21.19,.,22.19,2,21.19,22.19,0,1,30,22.19
5,13,2,27.29,20.29,.,21.29,2,20.29,22.29,0,1,30,22.29
5,13,4,8.26,5.26,.,5.76,2,5.26,6.76,0,1,30,6.76
5,13,5,5.67,4.6,.,4.6,2,4.6,4.6,0,1,30,4.6
5,13,6,12.73,10.73,.,10.73,2,10.73,10.73,0,1,30,10.73
5,14,1,28.38,23.04,.,23.06,0,23.04,23.05,1,0,30,23.05
5,14,2,14.35,12.35,.,13.35,0,12.35,13,1,0,30,13
5,14,2,28.41,21.41,.,22.41,0,21.41,22.41,1,0,30,22.41
5,14,4,24.35,18.35,.,21.35,1,18.35,22.35,1,0,30,22.35
5,14,5,19.04,16.04,.,17.04,1,16.04,17.04,1,0,30,17.04
5,14,6,21.67,15.67,.,17.07,1,15.67,19.67,1,0,30,19.67
5,15,1,10.76,9.76,.,9.77,2,9.76,9.77,1,1,30,9.77
5,15,2,23.01,20.01,.,20.01,2,20.01,20.01,1,1,30,20.01
5,15,3,18.94,15.49,.,16.49,2,15.49,16.49,1,1,30,16.49
5,15,4,1.75,0.75,.,0.85,2,0.75,1.5,1,1,30,1.5
5,15,5,6.23,4.9,.,4.9,2,4.9,4.9,1,1,30,4.9
5,15,6,7.05,3.05,.,2,2,3.05,2.05,1,1,30,2.05
5,16,1,3.38,3,.,3,0,3,3,1,0,30,3
5,16,2,29.79,23.79,.,24.79,0,23.79,24.79,1,0,30,24.79
5,16,3,14.27,10.27,.,10.27,0,10.27,12.27,1,0,30,12.27
5,16,4,4.7,2.7,.,2.75,1,2.7,4.1,1,0,30,4.1
5,16,5,21.23,19.04,.,18.04,1,19.04,18.04,1,0,30,18.04
5,16,6,19.38,17.08,.,16.58,1,17.08,16.08,1,0,30,16.08
